STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
725053,94728, 20130424,   52.9,24,   41.1,24, 1016.1,24, 1011.2,24,   9.4,24,   4.5,24,   8.0,  15.0,   69.1 ,  44.1 , 0.00G,999.9, 000000,
725053,94728, 20130425,   56.1,24,   31.5,24, 1018.1,24, 1013.2,24,   9.6,24,   4.9,23,   9.9,  21.0,   66.0 ,  46.0 , 0.00G,999.9, 000000,
725053,94728, 20130426,   57.3,24,   29.4,24, 1026.7,24, 1021.8,24,  10.0,24,   2.5,23,   6.0, 999.9,   66.9 ,  50.0 , 0.00G,999.9, 000000,
725053,94728, 20130427,   57.8,24,   27.8,24, 1028.5,24, 1023.6,24,  10.0,24,   4.4,24,  11.1,  20.0,   70.0*,  48.0*, 0.00G,999.9, 000000,
725053,94728, 20130428,   58.9,24,   31.1,24, 1025.2,24, 1020.3,24,  10.0,24,   3.5,24,   9.9,  18.1,   69.1 ,  51.1 , 0.00G,999.9, 000000,
725053,94728, 20130429,   55.0,24,   44.0,24, 1023.2,24, 1018.4,24,   9.6,24,   4.3,22,   7.0,  17.1,   57.0 ,  53.1 , 0.00G,999.9, 010000,
725053,94728, 20130430,   57.7,24,   38.2,24, 1024.9,22, 1019.9,24,  10.0,24,   4.8,21,   8.9, 999.9,   68.0 ,  51.1 , 0.04G,999.9, 000000,
725053,94728, 20130501,   57.0,24,   32.7,24, 1029.4,24, 1024.5,24,  10.0,24,   4.5,22,  11.1,  15.9,   69.1 ,  46.9 , 0.00G,999.9, 000000,
725053,94728, 20130502,   58.9,24,   41.2,24, 1030.2,24, 1025.3,24,  10.0,24,   2.3,23,   7.0, 999.9,   72.0 ,  46.9 , 0.00G,999.9, 000000,
725053,94728, 20130503,   56.6,24,   37.9,24, 1029.6,24, 1024.7,24,  10.0,24,   6.0,23,  13.0,  21.0,   72.0 ,  48.9 , 0.00G,999.9, 000000,
725053,94728, 20130504,   54.7,24,   41.4,24, 1026.5,24, 1021.6,24,  10.0,24,   4.9,24,  14.0,  18.1,   69.1 ,  48.0 , 0.00G,999.9, 000000,
725053,94728, 20130505,   52.1,24,   38.7,24, 1025.0,21, 1020.1,24,  10.0,24,   5.2,21,   9.9,  17.1,   69.1 ,  46.0 , 0.00G,999.9, 000000,
725053,94728, 20130506,   55.4,24,   44.7,24, 1023.6,19, 1018.6,24,   9.5,24,   3.6,22,   8.9, 999.9,   69.1 ,  46.0 , 0.00G,999.9, 000000,
725053,94728, 20130507,   60.9,24,   50.8,24, 1020.6,21, 1015.7,24,   9.9,24,   4.0,23,   7.0, 999.9,   73.9 ,  46.0 , 0.00G,999.9, 000000,
725053,94728, 20130508,   60.3,24,   56.6,24, 1017.7,11, 1012.8,24,   6.3,24,   4.5,24,   8.9, 999.9,   73.9 ,  52.0 , 1.28G,999.9, 110000,
725053,94728, 20130509,   58.9,24,   54.2,24, 1014.3,17, 1009.4,24,   6.4,24,   2.9,24,   6.0, 999.9,   68.0 ,  54.0 , 1.76G,999.9, 010000,
725053,94728, 20130510,   66.9,24,   54.0,24, 1014.3,24, 1009.5,24,   9.2,24,   3.0,23,   7.0,  15.9,   79.0 ,  54.0 , 0.48G,999.9, 000000,
